title,year,doi,journal,url,categories,cited_by_count,authors,abstract
Evaluation of the Viability of 3D Printing in Recycling Polymers,2024,10.3390/polym16081104,Polymers,https://www.semanticscholar.org/paper/05c1f78ef7977b3d56279b831964ed8fb8598bad,core_emissions_measurement;health_toxicology;materials,24,Chrysanthos Maraveas; Ioannis-Vasileios Kyrtopoulos; K. Arvanitis,"The increased use of plastics in industrial and agricultural applications has led to high levels of pollution worldwide and is a significant challenge. To address this plastic pollution, conventional methods such as landfills and incineration are used, leading to further challenges such as the generation of greenhouse gas emissions. Therefore, increasing interest has been directed to identifying alternative methods to dispose of plastic waste from agriculture. The novelty of the current research arose from the lack of critical reviews on how 3-Dimensional (3D) printing was adopted for recycling plastics, its application in the production of agricultural plastics, and its specific benefits, disadvantages, and limitations in recycling plastics. The review paper offers novel insights regarding the application of 3D printing methods including Fused Particle Fabrication (FPF), Hot Melt Extrusion (HME), and Fused Deposition Modelling (FDM) to make filaments from plastics. However, the methods were adopted in local recycling setups where only small quantities of the raw materials were considered. Data was collected using a systematic review involving 39 studies. Findings showed that the application of the 3D printing methods led to the generation of agricultural plastics such as Polylactic Acid (PLA), Acrylonitrile Butadiene Styrene (ABS), Polyethylene Terephthalate (PET), and High-Density Polyethylene (HDPE), which were found to have properties comparable to those of virgin plastic, suggesting the viability of 3D printing in managing plastic pollution. However, limitations were also associated with the 3D printing methods; 3D-printed plastics deteriorated rapidly under Ultraviolet (UV) light and are non-biodegradable, posing further risks of plastic pollution. However, UV stabilization helps reduce plastic deterioration, thus increasing longevity and reducing disposal. Future directions emphasize identifying methods to reduce the deterioration of 3D-printed agricultural plastics and increasing their longevity in addition to UV stability."
Characterization of particle emission from thermoplastic additive manufacturing,2020,10.1016/j.atmosenv.2020.117765,Atmospheric Environment,https://www.semanticscholar.org/paper/71fdc5b13fe8be79a403bcf42d415dc9aa1d6794,core_emissions_measurement;health_toxicology;materials;workplace_indoor_air,23,S. Sittichompoo; Sanjeevan Kanagalingam; Lauren E J Thomas-Seale; A. Tsolakis; J. Herreros,"Abstract Particle emission from fused-deposition modelling (FDM) desktop 3D printer has raised concerns regarding indoor personal health due to the increased accessibility of printers. This study characterises the size, number and morphology of the emitted particles to understand particle formation processes and propose guidelines for their abatement. The effects of extruder temperature, layer height, filament colour and shape of printing object on particle characteristics emitted from a desktop 3D printer have been investigated. For first time, a novel thermogravimetric analysis (TGA) method is developed to emulate printing process, which offers an insight into particle formation during extruder heating, standing-by and during the printing process. Printing temperature and printing layer height demonstrate a major effect on the ultra-fine particles (UFP) emitted, while ABS filament colour shows a minor effect on the nanoparticle emissions. Local temperature and concentration of volatile organic material emitted from the filament play an important role on the number of particles formed, while printing duration and air change rate (ACH) affect particle size, morphology and emission rate. The results provide guidelines to develop printing settings that will lead to lower UFP emissions for improved indoor air quality. The developed TGA method demonstrates the qualitative behaviour of particle emissions from a material under heating, which is approximately proportional to an FDM printers’ particle emissions; facilitating increased repeatability, time and cost efficiency for printing material assessment."
3D Printer Particle Emissions: Translation to Internal Dose in Adults and Children.,2021,10.1016/j.jaerosci.2021.105765,Journal of Aerosol Science,https://www.semanticscholar.org/paper/b6a3c1f395e2fcff9bf44edc762f96044002bf5a,core_emissions_measurement;health_toxicology;materials;workplace_indoor_air;resin_or_other_am,22,Peter Byrley; W. Boyes; K. Rogers; A. Jarabek,"Desktop fused deposition modeling (FDM®) three-dimensional (3D) printers are becoming increasingly popular in schools, libraries, and among home hobbyists. FDM® 3D printers have been shown to release ultrafine airborne particles in large amounts, indicating the potential for inhalation exposure and consequent health risks among FDM® 3D printer users and other room occupants including children. These particles are generated from the heating of thermoplastic polymer feedstocks during the FDM® 3D printing process, with the most commonly used polymers being acrylonitrile butadiene styrene (ABS) and poly-lactic acid (PLA). Risk assessment of these exposures demands estimation of internal dose, especially to address intra-human variability across life stages. Dosimetry models have proven to effectively translate particle exposures to internal dose metrics relevant to evaluation of their effects in the respiratory tract. We used the open-access multiple path particle dosimetry (MPPD v3.04) model to estimate inhaled particle deposition in different regions of the respiratory tract for children of various age groups from three months to eighteen years old adults. Mass concentration data for input into the MPPD model were calculated using particle size distribution and density data from experimental FDM® 3D printer emissions tests using both ABS and PLA. The impact of changes in critical parameters that are principal determinants of inhaled dose, including: sex, age, and exposure duration, was examined using input parameter values available from the International Commission on Radiological Protection. Internal dose metrics used included regional mass deposition, mass deposition normalized by pulmonary surface area, surface area of deposited particles by pulmonary surface area, and retained regional mass. Total mass deposition was found to be highest in the 9-year-old to 18-year-old age groups with mass deposition by pulmonary surface area highest in 3-month-olds to 9-year-olds and surface area of deposited particles by pulmonary surface area to be highest in 9-year-olds. Clearance modeling revealed that frequent 3D printer users are at risk for an increased cumulative retained dose."
Paper-based optoelectronic nose for identification of indoor air pollution caused by 3D printing thermoplastic filaments.,2021,10.1016/j.aca.2020.11.012,Analytica Chimica Acta,https://www.semanticscholar.org/paper/7c38527e559e9daacc0b00f35375b4cb9d222b7c,core_emissions_measurement;health_toxicology;materials;workplace_indoor_air,22,Naira Dias Pinheiro; R. Freire; J. Conrado; A. Batista; João Flávio da Silveira Petruci,"Commercial printers based on fused deposition modeling (FDM) are widely adopted for 3D printing applications. This method consists of the heating of polymeric filaments over the melting point followed by their deposition onto a solid base to create the desirable 3D structure. Prior investigation using chromatographic techniques has shown that chemical compounds (e.g. VOCs), which can be harmful to users, are emitted during the printing process, producing adverse effects to human health and contributing to indoor air pollution. In this study, we present a simple, inexpensive and disposable paper-based optoelectronic nose (i.e. colorimetric sensor array) to identify the gaseous emission fingerprint of five different types of thermoplastic filaments (ABS, TPU, PETG, TRITAN and PLA) in the indoor environment. The optoelectronic nose is comprised of selected 15 dyes with different chemical properties deposited onto a microfluidic paper-based device with spots of 5 mm in diameter each. Digital images were obtained from an ordinary flatbed scanner, and the RGB information collected before and after air exposure was extracted by using an automated routine designed in MATLAB, in which the color changes provide a unique fingerprint for each filament in 5 min of printing. Reproducibility was obtained in the range of 2.5-10% (RSD). Hierarchical clustering analysis (HCA) and principal component analysis (PCA) were successfully employed, showing suitable discrimination of all studied filaments and the non-polluted air. Besides, air spiked with vapors of the most representative VOCs were analyzed by the optoelectronic nose and visually compared to each filament. The described study shows the potential of the paper-based optoelectronic nose to monitor possible hazard emissions from 3D printers."
"Emission Profiles of Volatiles during 3D Printing with ABS, ASA, Nylon, and PETG Polymer Filaments",2022,10.3390/molecules27123814,Molecules,https://doi.org/10.3390/molecules27123814,core_emissions_measurement;materials,22,Wojciech Wojnowski; Mariusz Marć; Kaja Kalinowska; Paulina Kosmela; Bożena Zabiegała," In this short communication we characterize the emission of volatile organic compounds (VOCs) from fused filament fabrication (FFF) 3D printing using four polymer materials, namely polyethylene terephthalate glycol-modified (PETG), acrylonitrile styrene acrylate (ASA), Nylon, and acrylonitrile butadiene styrene (ABS). Detailed emission profiles are obtained during thermal degradation of the polymers as a function of temperature and also in real-time during 3D printing. Direct quantitative measurement was performed using proton transfer reaction time-of-flight mass spectrometry (PTR-ToF-MS). Qualitative determination of the volatiles emitted from the printed elements at various temperatures was accomplished using gas chromatography-mass spectrometry (GC-MS). The emission rates of VOCs differ significantly between the different polymer filaments, with the emission from Nylon and PETG more than an order of magnitude lower than that of ABS. "
3D Printing - Evaluating Particle Emissions of a 3D Printing Pen.,2020,10.3791/61829,Journal of visualized experiments : JoVE,https://pubmed.ncbi.nlm.nih.gov/33104072/,core_emissions_measurement,20,Sigloch H; Bierkandt FS; Singh AV; Gadicherla AK; Laux P; Luch A,
Dynamic Analysis of Particle Emissions from FDM 3D Printers through a Comparative Study of Chamber and Flow Tunnel Measurements,2020,10.1021/acs.est.0c05309,Environmental Science & Technology,https://openalex.org/W3096572948,core_emissions_measurement;health_toxicology;workplace_indoor_air,20,Shirun Ding; Man Pun Wan; Bing Feng Ng,"Ultrafine particle emissions originating from fused deposition modeling (FDM) three-dimensional (3D) printers have received widespread attention recently. However, the obvious inconsistency and uncertainty in particle emission rates (PERs, #/min) measured by chamber systems still remain, owing to different measurement conditions and calculation models used. Here, a dynamic analysis of the size-resolved PER is conducted through a comparative study of chamber and flow tunnel measurements. Two models to resolve PER from the chamber and a model for flow tunnel measurements were examined. It was found that chamber measurements for different materials underestimated PER by up to an order of magnitude and overestimated particle diameters by up to 2.3 times, while the flow tunnel measurements provided more accurate results. Field measurements of the time-resolved particle size distribution (PSD) in a typical room environment could be predicted well by the flow tunnel measurements, while the chamber measurements could not represent the main PSD characteristics (e.g., particle diameter mode). Secondary aerosols (>30 nm) formed in chambers were not observed in field measurements. Flow tunnel measurements were adopted for the first time as a possible alternative for the study of 3D printer emissions to overcome the disadvantages in chamber methods and as a means to predict exposure levels."
Metal compositions of particle emissions from material extrusion 3D printing: Emission sources and indoor exposure modeling,2023,10.1016/j.scitotenv.2022.160512,Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.160512,core_emissions_measurement;health_toxicology;workplace_indoor_air;resin_or_other_am,19,Qian Zhang; Rodney J. Weber; Todd P. Luxton; Derek M. Peloquin; Eric J. Baumann; Marilyn S. Black,
Fine particulate and chemical emissions from desktop 3D printers,2016,10.2352/issn.2169-4451.2017.32.121,NIP &amp; Digital Fabrication Conference,https://www.semanticscholar.org/paper/8210aa0f2ccf328133e12a98a7995f81c05c351b,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air,14,R. Weber; Qian Zhang; J. Wong; Aika Y. Davis; M. Black,"Fused deposition modeling (FDM) printers, the more common type of desktop 3D printers, emit volatile gases and particulates that may deteriorate indoor air quality. The developed method for characterizing and quantifying emissions from an operating 3D printer measures fine particulate and volatile organic compound (VOC) concentrations over time using an environment controlled testing chamber. All tested printers emitted ultrafine particulates (UFP). Approximately 70% of the particulates released from the printers were less than 50 nm in diameter. Emitted UFPs increased in size over time by coagulating with other particles and condensation of printer-generated vapors. Chemical compositions of the released gases varied depending on the filament material. Volatile chemicals such as styrene and ethylbenzene were released from acrylonitrile butadiene styrene (ABS) filament. Caprolactam, originating from a nylon filament, was a predominant released gas. Though polylactic acid (PLA) filament is thought to be safer since it is biodegradable, PLA still released chemicals such as methyl methacrylate. Acetaldehyde and formaldehyde were released from all the studied filaments. ABS emitted more particles than PLA or nylon filaments. The extrusion nozzle temperature on the printer had the greatest effect on both particles and VOC emissions; the emissions increased as the temperature of the nozzle increased. Depending on the maker of the filaments, the total particle number emissions varied by a factor of 20. Filament colors had minor effects on emissions compared to other parameters studied. Introduction The 3D printer market is estimated to grow at a compound annual rate of 44% [1]. Among diverse 3D printers on the market, fused deposition modeling (FDM) 3D printers are relatively inexpensive and convenient to use, making them accessible to the general public. FDM 3D printers heat a filament to a semi-liquid state and deposit it to build a 3dimensional object by layers [2]. In particular, desktop-sized 3D printers are often used in educational institutions (from primary schools to universities), design offices, libraries, and within homes [3]. Many of these locations have the potential to expose susceptible populations, such as children, to any toxic emissions generated in the printing process. It is known that commercial extrusion processing of thermoplastics generates both particles and volatile organic compounds (VOCs) [4], and some of the thermal decomposition products are recognized to be toxic [5, 6]. FDM 3D printers are potentially hazardous to operate in certain indoor environments. Due to the increasing usage of 3D printers and past experience with laser printer emissions, characterization of 3D printer emissions is necessary to assess human exposure and potential health impacts. A number of studies have recently reported emissions from commercial 3D printers [7, 8, 9, 10, 11], but the use of differing characterization methods make it difficult to compare and contrast factors influencing emissions reported amongst the previous studies. In order to address this limitation and to understand the factors that drive emissions, a standard testing and evaluation method is essential. Consistent characterization of particle emissions according to printer and filament combinations and operation conditions would then be possible and could be provided to consumers when considering purchasing these printers."
Evaluation of stress-controlled high-cycle fatigue characteristics in PLA-wood fused deposition modeling 3D-printed parts under bending loads,2024,10.1371/journal.pone.0300569,PLoS ONE,https://openalex.org/W4394933353,core_emissions_measurement;materials;mitigation_filtration,13,Morteza Kianifar; Mohammad Azadi; Fatemeh Heidari,"PLA (Poly-lactic acid)-wood provides more biodegradability through natural fibers, a significant advantage of pure PLA. Nevertheless, these bio-composites may have inferior mechanical properties compared to non-degradable polymer composites, considering the lower strength of natural particles compared to synthetic fibers. This research examines the fatigue behavior of additive-manufactured biopolymer PLA-wood and assesses its comparability with pure PLA. Therefore, solid fatigue test samples were printed using the FDM (fused deposition modeling) method. Afterward, fully reversed rotary bending fatigue experiments were performed at 4 different stress levels (7.5 to 15 MPa) to extract the S-N curve of PLA-wood. Moreover, the fatigue fracture surfaces of the PLA-wood were investigated and compared at the highest and lowest stress levels using an FE-SEM (Field Emission Scanning Electron Microscopy), indicating more ductile fracture marks at higher stress levels. The fatigue lifetime of the PLA-wood decreased by 87.48% at the highest stress level (15 MPa), rather than the result at the lowest stress level (7.5 MPa). Additionally, the results demonstrated that the fatigue characteristics of the printed pure PLA and PLA-wood were comparable, suggesting that the 3D-printed PLA-wood with the used printing parameters can be an alternative choice."
Emissions of fine and ultrafine particles and volatile organic compounds from different filament materials operated on a low-cost 3D printer,2018,,,https://www.semanticscholar.org/paper/4ef115b6f5394bfebc64449301577d5fc8e900e9,core_emissions_measurement;materials,11,Doris Brödner; T. Jacobi; F. Rasch; M. Rothhardt; O. Wilke,
Analysis of Volatile Organic Compound Emissions in 3D Printing: Implications for Indoor Air Quality,2024,10.3390/buildings14113343,Buildings,https://openalex.org/W4403637909,core_emissions_measurement;workplace_indoor_air,11,Héctor García-González; Teresa Lopez-Pola; Pilar Fernandez-Rubio; Pablo Fernandez-Rodriguez,
Literature review on emissions from additive manufacturing by FDM method and their impact on human health,2020,10.24425/mper.2020.134933,Management and Production Engineering Review,https://openalex.org/W3093915370,core_emissions_measurement;health_toxicology,10,Anna Karwasz; Filip Osiński,
Prevention through design: insights from computational fluid dynamics modeling to predict exposure to ultrafine particles from 3D printing.,2021,10.1080/15287394.2021.1886210,Journal of toxicology and environmental health. Part A,https://pubmed.ncbi.nlm.nih.gov/33641630/,core_emissions_measurement;health_toxicology,10,MacCuspie RI; Hill WC; Hall DR; Korchevskiy A; Strode CD; Kennedy AJ; Ballentine ML; Rycroft T,
Health and safety in 3D printing,2022,10.24840/2184-0954_006.001_0003,International Journal of Occupational and Environmental Safety,https://openalex.org/W4225130481,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air,10,Héctor García-González; Teresa López Pola,"Fused deposition modelling, or 3D printing, is an additive manufacturing technique that is quickly gaining popularity because of its ability to produce usable parts with several geometries. It provides multiple advantages in everyday life. However, the emerging risks of using 3D printers at home is an issue that needs to be addressed. It is estimated that a person spends, on average, 80-90% of their time inside a building, up to 60% of that time is at home. Therefore it is essential to control the pollutants in the indoor environment. This paper evaluated the Volatile Organic Compounds (VOCs) and nanoparticle emissions during 3D printing with the most common Poly-Lactic Acid (PLA) and Acrylonitrile Butadiene Styrene (ABS) materials. Real-time aerosol monitors were used to characterise particulate emission, and laboratory analysis was used to check the VOCs levels. During printing, an increase of VOCs and nanoparticles was observed. This increase was more significant during printing with ABS filaments than during printing with PLA filaments. The nanoparticles size emitted for the ABS filament was smaller than the particles emitted for the PLA filament. A carcinogen substance like benzene was found during printing. The pollutants levels observed may cause health problems, and it is recommended that printing be avoided without engineering controls in place, e.g. a good ventilation and extraction system."
"Particle emission levels in the user operating environment of powder, ink and filament-based 3D printers",2021,10.1108/rpj-02-2020-0039,Rapid Prototyping Journal,https://openalex.org/W3171956024,core_emissions_measurement;materials;resin_or_other_am,9,Shirun Ding; Bing Feng Ng,
Sarcomas in Teachers Using Three-Dimensional Printers: A Report of Three Patients and Literature Review.,2022,10.4055/cios21181,Clinics in orthopedic surgery,https://pubmed.ncbi.nlm.nih.gov/35685978/,core_emissions_measurement;health_toxicology;workplace_indoor_air,9,Joo MW; Lee YS; Chung YG; Lee HK,"Background While low-cost, small-scale, desktop three-dimensional (3D) printers are gaining popularity in the education sector, some studies have reported harmful emissions of particles and volatile organic compounds during the fused deposition modeling (FDM) process, posing a potential health risk. Sarcomas are rare tumors, constituting a group of diverse rare malignant tumors. While some genetic and environmental factors contribute to the development of sarcomas, most cases are idiopathic and sporadic. Methods We secured the medical records and statements about work environment from teachers diagnosed with sarcomas after frequent use of 3D printers in high schools, reviewed the cases, and described them in narrative format. Furthermore, popularization of FDM 3D printers, worrisome emissions released during the printing process, and related precautions and countermeasures were discussed through literature review. Results Exceptionally, the cases of sarcomas, such as Ewing’s sarcoma, malignant peripheral nerve sheath tumor, and well-differentiated liposarcoma, arose in a common specific condition. All the teachers regularly operated 3D printers in poorly ventilated spaces for at least 2 years. They had no past or family history of relevant diseases. Conclusions We first reported three cases of sarcoma in teachers who used 3D printers in poorly ventilated conditions. Although a relationship between the use of 3D printers and the development of sarcomas has not been determined yet, it is important to come up with measures to protect teachers and students using 3D printers from the potential hazard."
Characterization of Volatile and Particulate Emissions from Desktop 3D Printers,2023,10.3390/s23249660,Sensors,https://openalex.org/W4389365846,core_emissions_measurement,8,Melissa Finnegan; Colleen Lee Thach; Shirin Khaki; Emma Markey; David J. O’Connor; Alan F. Smeaton; Aoife Morrin,
3D printer emissions elicit filament-specific and dose-dependent metabolic and genotoxic effects in human airway epithelial cells,2024,10.3389/fpubh.2024.1408842,Frontiers in Public Health,https://openalex.org/W4400587121,core_emissions_measurement;health_toxicology;materials,8,LMA Barnett; Qian Zhang; Siddharth R. Sharma; Saeed Alqahtani; Jonathan H. Shannahan; M. Black; Christa Wright,
Review of volatile organic compound (VOC) emissions from desktop 3D printers and associated health implications,2025,10.1038/s41370-025-00778-y,Journal of Exposure Science & Environmental Epidemiology,https://openalex.org/W4410192648,core_emissions_measurement;health_toxicology,8,Danielle A Baguley; Gareth S. Evans; Delphine Bard; P. S. Monks; Rebecca L. Cordell,
Analysis of emission of volatile organic compounds and thermal degradation in investment casting using fused deposition modeling (FDM) and three-dimensional printing (3DP) made of various thermoplastic polymers,2024,10.1007/s11356-024-35200-x,Environmental science and pollution research international,https://www.semanticscholar.org/paper/40b21779668ee9eb0b5a5427d7eb5ebc126ef5c9,core_emissions_measurement;materials,7,A. Hejna; Mariusz Marć; P. Szymański; Kamila Mizera; M. Barczewski,"The study examined the degradation process of various types of polymers used to form models using the fused deposition modeling (FDM) and three-dimensional printing (3DP) methods and used in the investment casting method. Commercial filaments made of polylactide (PLA), acrylonitrile butadiene styrene terpolymer (ABS), high-impact polystyrene (HIPS), polyamide 12 (PA12), poly(methyl methacrylate) (PMMA), and polypropylene (PP) were used to produce gypsum molds. The assessment included organic volatile compounds (VOCs) released during mold heating and model degradation, which is characteristic of this technological process. The screening qualitative chromatographic analysis of decomposition products sampled from various points of the production hall made it possible to define potential threats related to the processing of selected polymers and the necessary preventive measures. Furthermore, passive diffusion-type samplers were used at the sampling stage of VOCs emitted to the gaseous phase to reduce nuisance and user interference. Studies have been completed to characterize the thermoplastic polymer degradation process. The coupled thermogravimetry (TGA) with analysis of gaseous products by infrared spectroscopy with Fourier transformation (FT-IR) has been used. The presented results are the first to compare and rate the use of this still-developing novel aspect of castings by the method of fused models."
Assessment of emissions and exposure in 3D printing workplaces in Taiwan,2024,10.1080/15459624.2024.2313655,Journal of Occupational and Environmental Hygiene,https://www.semanticscholar.org/paper/c14e55d263ec90161d20a5a45fc90dd8296670e2,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air;resin_or_other_am,7,Yung-Sheng Chuang; Abiyu Kerebo Berekute; Hsuan-Yu Hsu; Ho-Sheng Wei; Wen-Cheng Gong; Ya-Yuan Hsu; Chuen-Jinn Tsai; K. Yu,"Abstract Three-dimensional (3D) printing is an emerging and booming industry in Taiwan. Compared to traditional manufacturing, 3D printing has various advantages, such as advanced customization, additive manufacturing, reduced mold opening time, and reduced consumption of precursors. In this study, the real-time monitoring of particulate matter (PM) and total volatile organic compound (TVOC) emissions from various filaments is investigated using fused deposition modeling with material extrusion technology, a liquid-crystal display, a stereolithography apparatus based on vat photopolymerization technology, and binder jetting for occupational settings. An exposure assessment for nearby workers using the 3D printing process was performed, and improvement measures were recommended. Nine 3D printing fields were measured. The generation rate of ultrafine particles ranged from 1.19 × 1010 to 4.90 × 1012 #/min, and the geometric mean particle size ranged from 30.91 to 55.50 nm. The average concentration of ultrafine particles ranged from 2.31 × 103 to 7.36 × 104 #/cm3, and the PM2.5 and PM10 concentrations in each field ranged from 0.74 ± 0.27 to 12.46 ± 5.61 μg/m3 and from 2.39 ± 0.60 to 30.65 ± 21.26 μg/m3, respectively. The TVOC concentration ranged from 0.127 ± 0.012 to 1.567 ± 0.172 ppm. The respiratory deposition (RDUFPs) dose ranged from 2.02 × 1013 to 5.54 × 1014 nm2/day. Depending on the operating conditions, appropriate control and protective measures should be employed to protect workers’ health."
Pulmonary evaluation of whole-body inhalation exposure of polycarbonate (PC) filament 3D printer emissions in rats.,2024,10.1080/15287394.2024.2311170,Journal of toxicology and environmental health. Part A,https://pubmed.ncbi.nlm.nih.gov/38314584/,core_emissions_measurement;health_toxicology;materials,7,Farcas MT; McKinney W; Mandler WK; Knepp AK; Battelli L; Friend SA; Stefaniak AB; Service S,
Emissions of Volatile Compounds and Solids during Additive Manufacturing by the FFF Method,2023,10.3390/app13116371,Applied Sciences,https://openalex.org/W4378084982,core_emissions_measurement,6,Ewa Dostatni; Filip Osiński; Anna Karwasz,
Analysis of ways to reduce potential health risk from ultrafine and fine particles emitted from 3D printers in the makerspace.,2022,10.1111/ina.13053,Indoor Air: International Journal of Indoor Environment and Health,https://www.semanticscholar.org/paper/c4d375c4dd97e97ab317f09ca6755bf784796431,core_emissions_measurement;health_toxicology;materials;mitigation_filtration;workplace_indoor_air,5,Seungkeun Yeom; Hakpyeong Kim; Taehoon Hong; Kwangbok Jeong,"Due to the growing maker culture, maker spaces using multiple fused deposition modeling (FDM)-3D printers have spread around the world. However, the 3D printing process is known to cause the release of ultrafine and fine particles, which may have adverse health effects on occupants. Therefore, this experiment-based study was conducted on FDM-3D printers placed in an actual makerspace by the following three scenarios: the number of operating FDM-3D printers, ventilation, and measurement location to compare the concentrations of ultrafine and fine particles. In addition, the deposited dose in alveolar region for ultrafine and fine particles was predicted using a respiratory deposition model to analyze the potential health risk on occupants. As a result, the scenario-based comparison revealed that if the number of operating 3D printers is reduced by less than half, the potential health risk can be decreased by 34.1%, proper ventilation can reduce potential health risk by 55.5%, and working away from the 3D printer can also reduce potential health risk by up to 27.5%. This study analyzed the potential health risk of multiple FDM-3D printers on users in an actual makerspace, and proposed various improvement measures to reduce the potential health risk of ultrafine and fine particles."
Fused Filament Fabrication 3D Printing: Quantification of Exposure to Airborne Particles,2022,10.3390/jcs6050119,Journal of Composites Science,https://openalex.org/W4224248217,core_emissions_measurement;health_toxicology;materials,5,Stratos Saliakas; Panagiotis Karayannis; Ioannis Kokkinopoulos; Spyridon Damilos; Eleni Gkartzou; Panagiotis Zouboulis; Anna Karatza; Elias P. Koumoulos,
Multi-objective optimization of surface finish and VOC emissions in FFF 3D printing using ANN–NSGA-II approach,2025,10.1038/s41598-025-17304-7,Scientific Reports,https://openalex.org/W4414748740,core_emissions_measurement,5,A. M. Reda; Denis Ashok S.,
Cytotoxicity and Characterization of Ultrafine Particles from Desktop Three-Dimensional Printers with Multiple Filaments.,2023,10.3390/toxics11090720,Toxics,https://pubmed.ncbi.nlm.nih.gov/37755731/,core_emissions_measurement;health_toxicology;materials;mitigation_filtration,3,Fang R; Mohammed AN; Yadav JS; Wang J," Previous research has indicated that ultrafine particles (UFPs, particles less than 100 nm) emitted from desktop three-dimensional (3D) printers exhibit cytotoxicity. However, only a limited number of particles from different filaments and their combinations have been tested for cytotoxicity. This study quantified the emissions of UFPs from a commercially available filament extrusion desktop 3D printer using three different filaments, including acrylonitrile butadiene Styrene (ABS), thermoplastic polyurethane (TPU), and polyethylene terephthalate glycol (PETG). In this study, controlled experiments were conducted where the particles emitted were used to expose cells grown in an air-liquid interface (ALI) system. The ALI exposures were utilized for in vitro characterization of particle mixtures, including UFPs from a 3D printer. Additionally, a lactate dehydrogenase (LDH) assay was used to evaluate the cytotoxic effects of these UFPs. A549 cells were exposed at the ALI to UFPs generated by an operational 3D printer for an average of 45 and 90 min. Twenty-four hours post-exposure, the cells were analyzed for percent cytotoxicity in a 24-well ALI insert (LDH assay). UFP exposure resulted in diminished cell viability, as evidenced by significantly increased LDH levels. The findings demonstrate that ABS has the most significant particle emission. ABS was the only filament that showed a significant difference compared to the high efficiency particulate arrestance (HEPA) following 90 min of exposure (p-value &lt; 0.05). Both ABS and PETG exhibited a significant difference compared to the HEPA control after 45 min of exposure. A preliminary analysis of potential exposure to these products in a typical environment advises caution when operating multiple printer and filament combinations in poorly ventilated spaces or without combined gas and particle filtration systems. "
Extraction of volatile organic compounds liberated upon filament extrusion by 3D pen and its comparison with a desktop 3D printer using solid-phase microextraction fiber and Arrow,2024,10.1016/j.chroma.2024.464740,Journal of Chromatography A,https://doi.org/10.1016/j.chroma.2024.464740,core_emissions_measurement;materials;mitigation_filtration,3,Bhawana Thapa; David S. Bell; Jared L. Anderson,"Desktop 3D printers that operate by the fused deposition modeling (FDM) mechanism are known to release numerous hazardous volatile organic compounds (VOCs) during printing, including some with potential carcinogenic effects. Operating in a similar manner to FDM 3D printers, 3D pens have gained popularity recently from their ability to allow users to effortlessly draw in the air or create various 3D printed shapes while handling the device like a pen. In contrast to numerous modern 3D printers, 3D pens lack their own ventilation systems and are often used in settings with minimum airflow. Their operation makes users more vulnerable to VOC emissions, as the released VOCs are likely to be in the breathing zone. Consequently, monitoring VOCs released during the use of 3D pens is crucial. In this study, VOCs liberated while extruding acrylonitrile butadiene styrene (ABS) filaments from a 3D pen were measured by solid-phase microextraction (SPME) combined with gas chromatography/mass spectrometry (GC/MS). SPME was investigated using the traditional fiber and Arrow geometries with the DVB/Carbon WR/PDMS sorbent while four different brands of ABS filaments-Amazon Basics, Gizmodork, Mynt 3D, and Novamaker-were used with the 3D pen. Heatmap analysis showed differentiation among these brands based on the liberated VOCs. The nozzle temperature and printing speed were found to affect the number and amount of released VOCs. This study goes a step further and presents for the first time a comparison between 3D pen and a desktop 3D printer based on liberated VOCs. Interestingly, the findings reveal that the 3D pen releases a greater number and amount of VOCs compared to the printer. The amounts of liberated VOCs, as indicated by the corresponding chromatographic peak areas, were found to be 1.4 to 62.6 times higher for the 3D pen compared to the 3D printer when using SPME Arrow."
